,City,Max Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Country
0,punta arenas,35.6,80,40,10.29,-53.16,CL
1,chuy,42.18,81,0,12.19,-33.69,UY
3,cape town,59,93,75,12.75,-33.93,ZA
4,kaeo,62.01,85,48,11.01,-35.1,NZ
5,yellowknife,53.6,76,75,24.16,62.45,CA
6,paralimni,73.99,83,0,0.58,40.99,GR
8,ushuaia,35.6,93,90,11.41,-54.81,AR
9,severo-kurilsk,44.95,92,100,6.44,50.68,RU
10,waingapu,81.35,62,100,13.13,-9.65,ID
11,georgetown,77,94,40,2.24,6.8,GY
12,arraial do cabo,73.57,77,0,3.09,-22.97,BR
13,mareeba,78.01,61,75,13.87,-16.99,AU
14,tuktoyaktuk,53.6,93,90,11.41,69.44,CA
15,klaksvik,41,93,88,5.82,62.23,FO
16,cockburn town,81.1,81,52,12.73,21.46,TC
17,avarua,75.2,57,38,14.99,-21.21,CK
18,dunedin,53.01,64,74,8.01,-45.87,NZ
19,khatanga,56.85,36,33,4.99,71.98,RU
20,siocon,83.73,70,100,5.01,11.03,PH
21,shellbrook,50,81,90,10.29,53.22,CA
22,vikhorevka,82.4,45,0,2.24,56.12,RU
23,busselton,64,46,100,6.53,-33.64,AU
24,kaitangata,48.99,74,100,4,-46.28,NZ
25,buluang,86,70,90,4.7,10.47,PH
26,zhangye,79.95,21,92,6.08,38.94,CN
27,jamestown,56.2,52,0,5.41,-33.21,AU
28,kavieng,83.19,73,11,8.97,-2.57,PG
29,hindoria,95.98,38,0,15.35,23.9,IN
30,mataura,57.99,74,100,1.99,-46.19,NZ
31,rikitea,69.25,71,100,16.37,-23.12,PF
32,bambous virieux,71.6,68,75,17.22,-20.34,MU
33,shu,84.61,24,0,6.4,43.6,KZ
35,chapais,57.2,93,90,8.05,49.78,CA
36,sulphur,80.6,78,5,5.82,30.24,US
37,hermanus,60.01,62,79,15.01,-34.42,ZA
38,vostok,58.8,94,100,3.6,46.45,RU
39,vanavara,88.44,34,0,4.56,60.35,RU
40,carnarvon,32.25,89,0,6.51,-30.97,ZA
41,bontang,86.66,59,87,3.67,0.12,ID
42,nyurba,69.22,42,99,8.79,63.29,RU
43,albany,73.4,72,1,6.93,42.65,US
44,vaini,71.6,100,75,5.82,15.34,IN
45,dakar,75.2,88,63,5.82,14.69,SN
46,port blair,86,79,75,11.41,11.67,IN
47,kruisfontein,46.25,76,1,8.25,-34,ZA
48,arinos,61.8,54,0,3.36,-15.92,BR
50,egvekinot,42.97,90,100,15.77,66.32,RU
51,izhma,60.6,77,61,2.24,65.01,RU
52,bluff,72.78,44,100,7.72,-23.58,AU
53,payo,79.68,67,52,3.65,-3.75,ID
55,inuvik,51.8,100,90,4.7,68.36,CA
56,muscat,91.4,27,0,2.24,23.6,OM
57,soyo,72.73,80,100,8.12,-6.13,AO
58,taltal,50.25,83,100,1.81,-25.41,CL
59,menongue,46.9,39,0,2.95,-14.66,AO
60,santa cruz,67.74,89,0,9.04,-6.22,BR
61,bredasdorp,60.01,71,28,9.17,-34.53,ZA
62,jiangyou,78,56,66,3.94,31.78,CN
63,lakselv,48.2,93,100,3.36,70.05,NO
64,kidal,90.85,11,0,10.25,18.44,ML
66,sitka,75,69,0,7,37.17,US
67,northam,62.6,67,20,9.17,-31.65,AU
68,puerto ayora,71.01,94,44,10.87,-0.74,EC
69,san vicente,73.4,88,75,4.7,-0.59,EC
70,bubaque,79.64,84,88,9.57,11.28,GW
71,kapaa,84.2,70,20,10.29,22.08,US
72,bethel,55.4,87,90,9.17,60.79,US
73,aksu,68,56,0,11.18,52.04,KZ
74,saint marys,68,82,1,3.15,41.43,US
75,lagoa,66.2,68,0,4.7,37.14,PT
76,kalmunai,84.95,51,100,2.57,7.42,LK
77,iqaluit,42.8,75,20,5.82,63.75,CA
79,shingu,71.6,94,75,2.24,33.72,JP
80,havelock,80.6,65,1,4.7,34.88,US
81,hobart,53.6,54,20,27.51,-42.88,AU
82,nanortalik,38.06,97,100,2.62,60.14,GL
83,espanola,66,75,93,4,46.27,CA
84,atuona,80.83,75,0,15.37,-9.8,PF
85,luderitz,53.6,71,0,5.82,-26.65,NA
86,finschhafen,68.28,97,84,3.69,-6.6,PG
87,lompoc,71.01,77,75,16.11,34.64,US
88,cherskiy,52.12,65,92,6.38,68.75,RU
89,bambanglipuro,76.09,79,30,3.15,-7.95,ID
91,marabba,83.06,60,100,5.21,12.35,SD
93,tiszafured,69.8,94,0,6.93,47.62,HU
94,saint-philippe,75.99,78,1,10.83,45.36,CA
95,butaritari,84.75,70,82,8.81,3.07,KI
96,rorvik,44.01,92,24,21.63,64.86,NO
97,boa vista,78.8,88,75,3.36,2.82,BR
98,richards bay,71.25,48,0,20.27,-28.77,ZA
99,dikson,42.81,94,100,13.8,73.51,RU
101,talnakh,62.6,55,0,2.24,69.49,RU
102,saint george,73.99,72,0,0.69,39.45,GR
103,pacific grove,72,60,1,10.29,36.62,US
104,gushikawa,89.6,74,20,17.22,26.35,JP
105,kutum,76.53,60,82,1.12,14.2,SD
106,killarney,63,58,99,3,-28.34,AU
107,san cristobal,67.17,93,0,4.99,14.68,HN
108,new norfolk,53.6,54,20,27.51,-42.78,AU
109,waipawa,57,75,66,7.9,-39.94,NZ
110,tizimin,79.06,76,0,7.83,21.14,MX
111,pindi gheb,87.8,33,0,20.8,33.24,PK
112,saint-augustin,75.99,68,90,5.82,45.63,CA
113,thompson,53.6,87,90,8.05,55.74,CA
114,grootfontein,39.9,39,0,13.15,-19.56,NA
115,bud,46.4,70,63,10.29,62.91,NO
116,kristinehamn,59,93,45,6.93,59.31,SE
117,pevek,33.67,95,91,2.55,69.7,RU
119,victoria,86,74,75,9.22,5.28,BN
120,namatanai,78.34,86,76,11.14,-3.66,PG
121,codrington,71.01,68,44,1.12,-28.95,AU
123,tasiilaq,32.12,85,93,4.52,65.61,GL
124,miramar,73.4,69,0,4.7,10.09,CR
125,castro,37.4,93,40,5.82,-42.48,CL
126,kudahuvadhoo,83.37,62,100,0.85,2.67,MV
128,leh,34.69,61,34,2.89,34.16,IN
129,pucallpa,78.8,88,40,3.36,-8.38,PE
130,ilulissat,41,75,75,3.36,69.22,GL
131,hilo,80.6,69,75,14.99,19.71,US
132,east london,51.31,55,0,10.29,-33.02,ZA
133,ribeira grande,68.59,92,100,9.64,38.52,PT
134,varberg,57.2,76,70,23.04,57.11,SE
135,jacareacanga,75.07,62,0,2.46,-6.22,BR
136,ixtapa,86,55,20,6.93,20.71,MX
137,mar del plata,35.58,62,44,14.12,-46.43,AR
138,neiafu,80.6,83,75,6.93,-18.65,TO
139,longyearbyen,48.2,76,75,20.8,78.22,NO
140,murwara,95.77,36,33,9.71,23.85,IN
141,muroto,73.4,88,75,4.7,33.37,JP
142,cidreira,48.46,81,0,4.99,-30.17,BR
143,pundaguitan,82.72,73,64,7.49,6.37,PH
144,biak,65.51,93,100,0.36,-0.91,ID
145,bilimbay,59,87,40,11.18,56.96,RU
149,gobabis,35.6,59,0,1.12,-22.45,NA
150,port elizabeth,75.2,88,1,4.03,39.31,US
151,meulaboh,80.95,76,97,6.76,4.14,ID
152,airai,84.79,50,64,2.8,-8.93,TL
154,half moon bay,69.01,82,75,11.41,37.46,US
155,clyde river,41,75,1,8.05,70.47,CA
156,belaya gora,60.87,50,100,9.48,68.54,RU
158,vestmanna,41,93,90,5.82,62.16,FO
159,vardo,71.6,83,1,4.5,39.62,US
160,itaituba,75.01,72,33,0.87,-4.26,BR
161,laguna,80.6,88,40,3.44,16.17,BZ
162,rawson,38.96,62,0,17.94,-43.3,AR
163,ancud,37.4,93,40,5.82,-41.87,CL
164,chokurdakh,54.93,55,100,9.62,70.62,RU
165,barrow,50.16,44,100,18.28,-38.31,AR
166,nuuk,39.2,86,75,9.17,64.17,GL
167,hargeysa,68.37,75,0,23.87,9.56,SO
168,whitehorse,75.2,50,75,5.82,60.72,CA
169,zhangjiakou,72.31,40,9,7.27,40.77,CN
170,nikolskoye,61,77,0,8.95,59.7,RU
171,yar-sale,74.58,58,0,14.65,66.83,RU
172,salalah,84.2,79,90,5.82,17.01,OM
173,constantine,68,68,0,1.12,36.36,DZ
174,badiraguato,86,66,75,3.83,25.36,MX
175,tiksi,38.6,85,100,12.12,71.64,RU
176,temirtau,66.2,42,0,8.95,50.05,KZ
177,caravelas,71.85,92,6,6.82,-17.73,BR
178,qaanaaq,48.34,49,0,8.34,77.48,GL
179,hithadhoo,83.37,71,93,6.96,-0.6,MV
180,orange cove,91.4,18,1,11.41,36.62,US
181,padang,81.33,76,57,2.71,-0.92,ID
182,mulege,83.28,69,0,6.13,26.88,MX
183,vao,56.28,76,67,9.53,59.1,EE
184,kunda,55.93,77,41,10.92,59.5,EE
185,matagami,68.84,98,76,4.65,9.67,NG
186,plettenberg bay,48.18,70,2,6.82,-34.05,ZA
187,coahuayana,76.58,71,31,3.36,18.62,MX
188,ponta do sol,61.03,64,0,2.8,-20.63,BR
189,broken hill,57.2,30,0,8.05,-31.97,AU
190,diapaga,82.43,68,73,9.55,12.07,BF
191,marawi,84,78,100,5.01,8,PH
193,shiyan,89.27,38,100,1.1,32.65,CN
194,coihaique,37.4,98,90,5.82,-45.58,CL
195,gao,93.81,28,0,15.86,16.28,ML
196,faanui,77.73,79,88,25.17,-16.48,PF
197,pontes e lacerda,73.74,54,0,4.68,-15.23,BR
198,cairns,78.01,61,75,13.87,-16.92,AU
199,barcelos,73.36,96,56,2.37,-0.97,BR
200,lindi,65.91,98,3,3.74,-10,TZ
202,roshchino,62.6,82,75,6.71,55.31,RU
204,puerto princesa,77,94,90,2.24,9.74,PH
205,griffith,55.4,62,0,5.82,-34.29,AU
206,perry,82.4,88,1,5.82,30.12,US
207,hoi an,82.4,83,75,2.24,15.88,VN
208,grindavik,48.2,75,0,8.05,63.84,IS
209,ola,48.01,90,76,9.6,59.58,RU
210,kampene,66.39,56,29,1.7,-3.59,CD
211,minna,73.4,88,20,9.17,9.62,NG
212,kavaratti,84.2,79,40,9.17,10.57,IN
213,stromness,73,73,40,8.05,42.87,CA
214,taft,84.2,74,40,11.41,27.98,US
215,jining,107.01,16,0,1.01,35.41,CN
216,patrasaer,88,79,75,16.11,23.2,IN
217,pestovo,66.2,77,0,4.47,55.36,RU
218,remanso,69.74,56,0,5.57,-9.62,BR
219,islamkot,87.88,64,20,14.05,24.7,PK
